income,expenses_listrik,expenses_transport,expenses_makanan,goal_amount,goal_duration,remaining_time,goal_achievable,current_savings
10000000,1000000,1000000,2500000,20000000,9,8,1,1800000
12000000,800000,500000,3000000,30000000,3,2,0,5700000
8000000,700000,600000,1500000,20000000,9,7,1,2900000
12000000,500000,1200000,2500000,10000000,9,8,1,3500000
12000000,700000,800000,1500000,25000000,12,12,1,900000
7000000,700000,600000,2500000,20000000,1,3,0,500000
8000000,1000000,600000,1500000,30000000,6,5,0,30000000
8000000,800000,1200000,1500000,10000000,9,8,1,3400000
8000000,600000,500000,2000000,15000000,3,1,0,2400000
12000000,800000,500000,1500000,15000000,9,7,1,4200000
10000000,800000,500000,2000000,30000000,9,7,1,30000000
8000000,700000,500000,3000000,10000000,9,8,1,3800000
15000000,800000,1000000,3000000,25000000,9,7,1,6200000
12000000,500000,500000,2000000,20000000,12,10,1,1200000
7000000,700000,1000000,2000000,10000000,3,3,0,600000
10000000,500000,1000000,2500000,15000000,3,1,1,900000
15000000,600000,500000,2500000,30000000,1,3,1,2200000
15000000,700000,700000,2500000,30000000,9,9,1,3900000
7000000,600000,800000,3000000,20000000,12,10,1,1500000
10000000,700000,600000,2500000,30000000,9,9,1,1400000
12000000,1000000,1000000,1500000,30000000,9,8,1,3600000
5500000,800000,1200000,1500000,10000000,3,2,0,300000
10000000,1000000,1200000,2500000,25000000,9,7,1,1400000
7000000,600000,800000,1500000,20000000,6,5,1,1200000
15000000,800000,1200000,3000000,10000000,9,9,1,3400000
12000000,700000,700000,1500000,25000000,6,5,1,4700000
10000000,800000,1200000,3000000,10000000,9,7,1,900000
5100000,500000,600000,2000000,10000000,1,10,1,1300000
5400000,800000,600000,2000000,30000000,12,12,0,1500000
8000000,500000,1000000,2000000,25000000,3,1,0,25000000
8000000,800000,500000,2000000,20000000,9,8,1,2400000
7000000,500000,700000,1500000,20000000,6,4,1,500000
10000000,600000,1000000,2500000,25000000,6,6,1,25000000
10000000,1000000,700000,1500000,30000000,9,7,1,4700000
15000000,700000,500000,3000000,15000000,6,5,1,7200000
15000000,800000,1200000,1500000,10000000,12,12,1,6000000
15000000,1000000,1200000,1500000,30000000,6,5,1,2200000
8000000,700000,500000,3000000,25000000,3,3,0,25000000
10000000,700000,1000000,2000000,10000000,12,10,1,3400000
10000000,500000,500000,2000000,20000000,12,12,1,2200000
5400000,600000,800000,2000000,15000000,12,12,1,300000
8000000,600000,600000,2500000,20000000,9,7,1,1900000
12000000,1000000,1000000,3000000,25000000,9,8,1,25000000
8000000,600000,700000,3000000,10000000,12,10,1,3600000
12000000,800000,800000,1500000,25000000,9,9,1,1500000
6100000,600000,1000000,2500000,10000000,6,4,1,2000000
7000000,1000000,500000,2000000,30000000,9,9,1,1000000
10000000,600000,500000,2500000,15000000,9,7,1,2600000
6300000,800000,500000,3000000,30000000,12,10,0,1700000
10000000,500000,500000,3000000,30000000,3,2,0,900000
15000000,1000000,700000,1500000,25000000,3,3,1,7200000
7000000,500000,800000,1500000,15000000,3,2,0,2700000
7000000,500000,1200000,3000000,10000000,6,6,1,3200000
5100000,500000,600000,2000000,10000000,1,7,1,2200000
7000000,700000,700000,2000000,20000000,3,3,0,2000000
12000000,700000,700000,2500000,10000000,12,11,1,5500000
7000000,500000,1200000,3000000,25000000,3,2,0,25000000
10000000,1000000,1200000,3000000,30000000,3,2,0,900000
10000000,800000,600000,2000000,30000000,9,9,1,30000000
10000000,800000,600000,2000000,30000000,9,8,1,1600000
10000000,600000,1200000,3000000,15000000,9,8,1,1900000
12000000,1000000,500000,1500000,10000000,6,5,1,1600000
8000000,700000,700000,3000000,25000000,6,4,0,3300000
15000000,500000,1000000,3000000,15000000,3,1,1,2600000
5200000,600000,600000,2000000,20000000,9,9,0,700000
10000000,800000,600000,2000000,25000000,1,3,0,2700000
7000000,700000,1200000,1500000,25000000,12,11,1,400000
10000000,700000,800000,1500000,25000000,12,10,1,4000000
7000000,500000,1000000,2500000,30000000,9,8,0,30000000
15000000,800000,1000000,3000000,25000000,1,8,1,7400000
15000000,1000000,600000,2000000,10000000,12,10,1,5700000
15000000,700000,500000,1500000,25000000,9,7,1,1400000
7000000,500000,800000,2500000,30000000,6,4,0,30000000
